,game,model,experiment,episode,metric,value
0,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Aborted at Player 1,1.0
1,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Generated Expression Length,
2,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Generated Expression Number of Tokens,
3,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Request Count,1.0
4,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Parsed Request Count,0.0
5,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Violated Request Count,1.0
6,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Success,0.0
7,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Lose,1.0
8,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Aborted,1.0
9,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Main Score,
10,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_4,Request Success Ratio,0.0
11,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Aborted at Player 1,1.0
12,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Generated Expression Length,
13,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Generated Expression Number of Tokens,
14,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Request Count,1.0
15,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Parsed Request Count,0.0
16,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Violated Request Count,1.0
17,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Success,0.0
18,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Lose,1.0
19,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Aborted,1.0
20,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Main Score,
21,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_20,Request Success Ratio,0.0
22,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Aborted at Player 1,1.0
23,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Generated Expression Length,
24,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Generated Expression Number of Tokens,
25,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Request Count,1.0
26,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Parsed Request Count,0.0
27,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Violated Request Count,1.0
28,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Success,0.0
29,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Lose,1.0
30,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Aborted,1.0
31,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Main Score,
32,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_12,Request Success Ratio,0.0
33,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Aborted at Player 1,1.0
34,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Generated Expression Length,
35,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Generated Expression Number of Tokens,
36,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Request Count,1.0
37,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Parsed Request Count,0.0
38,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Violated Request Count,1.0
39,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Success,0.0
40,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Lose,1.0
41,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Aborted,1.0
42,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Main Score,
43,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_23,Request Success Ratio,0.0
44,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Aborted at Player 1,1.0
45,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Generated Expression Length,
46,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Generated Expression Number of Tokens,
47,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Request Count,1.0
48,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Parsed Request Count,0.0
49,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Violated Request Count,1.0
50,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Success,0.0
51,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Lose,1.0
52,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Aborted,1.0
53,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Main Score,
54,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_10,Request Success Ratio,0.0
55,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Aborted at Player 1,1.0
56,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Generated Expression Length,
57,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Generated Expression Number of Tokens,
58,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Request Count,1.0
59,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Parsed Request Count,0.0
60,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Violated Request Count,1.0
61,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Success,0.0
62,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Lose,1.0
63,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Aborted,1.0
64,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Main Score,
65,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_25,Request Success Ratio,0.0
66,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Aborted at Player 1,1.0
67,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Generated Expression Length,
68,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Generated Expression Number of Tokens,
69,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Request Count,1.0
70,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Parsed Request Count,0.0
71,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Violated Request Count,1.0
72,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Success,0.0
73,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Lose,1.0
74,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Aborted,1.0
75,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Main Score,
76,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_28,Request Success Ratio,0.0
77,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Aborted at Player 1,1.0
78,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Generated Expression Length,
79,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Generated Expression Number of Tokens,
80,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Request Count,1.0
81,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Parsed Request Count,0.0
82,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Violated Request Count,1.0
83,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Success,0.0
84,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Lose,1.0
85,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Aborted,1.0
86,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Main Score,
87,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_3,Request Success Ratio,0.0
88,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Aborted at Player 1,1.0
89,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Generated Expression Length,
90,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Generated Expression Number of Tokens,
91,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Request Count,1.0
92,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Parsed Request Count,0.0
93,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Violated Request Count,1.0
94,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Success,0.0
95,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Lose,1.0
96,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Aborted,1.0
97,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Main Score,
98,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_8,Request Success Ratio,0.0
99,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Aborted at Player 1,1.0
100,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Generated Expression Length,
101,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Generated Expression Number of Tokens,
102,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Request Count,1.0
103,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Parsed Request Count,0.0
104,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Violated Request Count,1.0
105,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Success,0.0
106,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Lose,1.0
107,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Aborted,1.0
108,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Main Score,
109,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_11,Request Success Ratio,0.0
110,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Aborted at Player 1,1.0
111,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Generated Expression Length,
112,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Generated Expression Number of Tokens,
113,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Request Count,1.0
114,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Parsed Request Count,0.0
115,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Violated Request Count,1.0
116,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Success,0.0
117,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Lose,1.0
118,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Aborted,1.0
119,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Main Score,
120,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_14,Request Success Ratio,0.0
121,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Aborted at Player 1,1.0
122,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Generated Expression Length,
123,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Generated Expression Number of Tokens,
124,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Request Count,1.0
125,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Parsed Request Count,0.0
126,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Violated Request Count,1.0
127,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Success,0.0
128,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Lose,1.0
129,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Aborted,1.0
130,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Main Score,
131,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_22,Request Success Ratio,0.0
132,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_2,Aborted at Player 1,1.0
133,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_2,Generated Expression Length,
134,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_2,Generated Expression Number of Tokens,
135,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_2,Request Count,1.0
136,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_2,Parsed Request Count,0.0
137,referencegame,idefics-80b-instruct-t0.0--idefics-80b-instruct-t0.0,1_line_grids_columns,episode_2,Violated Request Count,1.0
